"Sample1","Sample2","Distance","Study1","Study2"
504138,455521,0.300170526574913,"SDY112","SDY113"
504139,455521,0.290467379067501,"SDY112","SDY113"
504140,455521,0.299077552425504,"SDY112","SDY113"
504141,455521,0.258344580486823,"SDY112","SDY113"
504142,455521,0.284851648635774,"SDY112","SDY113"
504143,455521,0.26723979511571,"SDY112","SDY113"
504144,455521,0.282772721874264,"SDY112","SDY113"
504145,455521,0.304222327063499,"SDY112","SDY113"
504146,455521,0.277007641195478,"SDY112","SDY113"
504147,455521,0.306566164023496,"SDY112","SDY113"
504148,455521,0.298736176012113,"SDY112","SDY113"
504149,455521,0.270639671974,"SDY112","SDY113"
504150,455521,0.324951595478313,"SDY112","SDY113"
504151,455521,0.225825347305223,"SDY112","SDY113"
504152,455521,0.239448991730051,"SDY112","SDY113"
504153,455521,0.292570341255729,"SDY112","SDY113"
504154,455521,0.317304915585966,"SDY112","SDY113"
504155,455521,0.250656423577506,"SDY112","SDY113"
504156,455521,0.313379302941768,"SDY112","SDY113"
504158,455521,0.244516914838093,"SDY112","SDY113"
504159,455521,0.238070501514581,"SDY112","SDY113"
504160,455521,0.327882507725548,"SDY112","SDY113"
504161,455521,0.240988619837007,"SDY112","SDY113"
504162,455521,0.250623158532759,"SDY112","SDY113"
504164,455521,0.299177451012092,"SDY112","SDY113"
504167,455521,0.277476194645697,"SDY112","SDY113"
504168,455521,0.292045036515077,"SDY112","SDY113"
504170,455521,0.287542122773467,"SDY112","SDY113"
504171,455521,0.324549756752409,"SDY112","SDY113"
504172,455521,0.28830234597296,"SDY112","SDY113"
504173,455521,0.295881398246074,"SDY112","SDY113"
504174,455521,0.303976614482537,"SDY112","SDY113"
504175,455521,0.301497728579517,"SDY112","SDY113"
511072,455521,0.103233018416285,"SDY305","SDY113"
511073,455521,0.203624344832281,"SDY305","SDY113"
511074,455521,0.150812574067718,"SDY305","SDY113"
511075,455521,0.180089276962966,"SDY305","SDY113"
511078,455521,0.19199722862557,"SDY305","SDY113"
511079,455521,0.151872297951719,"SDY305","SDY113"
511080,455521,0.172926572055661,"SDY305","SDY113"
511082,455521,0.224601926912982,"SDY305","SDY113"
511083,455521,0.201325630317327,"SDY305","SDY113"
511089,455521,0.162322902939406,"SDY305","SDY113"
511090,455521,0.197719968631991,"SDY305","SDY113"
511091,455521,0.186735133474162,"SDY305","SDY113"
511092,455521,0.177278880978542,"SDY305","SDY113"
511100,455521,0.122982503627145,"SDY472","SDY113"
511101,455521,0.171740219841089,"SDY472","SDY113"
511102,455521,0.152456794624385,"SDY472","SDY113"
511103,455521,0.161184080962936,"SDY472","SDY113"
511104,455521,0.139476389399341,"SDY472","SDY113"
511105,455521,0.155751757452526,"SDY472","SDY113"
511106,455521,0.161033086592571,"SDY472","SDY113"
511107,455521,0.159609628694311,"SDY472","SDY113"
511108,455521,0.191170996979662,"SDY472","SDY113"
511109,455521,0.210080769432289,"SDY472","SDY113"
511110,455521,0.195884896453644,"SDY472","SDY113"
511111,455521,0.171206919817618,"SDY472","SDY113"
511112,455521,0.247867494623493,"SDY472","SDY113"
511113,455521,0.175542539825653,"SDY472","SDY113"
511114,455521,0.217113370472157,"SDY472","SDY113"
511115,455521,0.224477911218885,"SDY472","SDY113"
511118,455521,0.213154867517,"SDY472","SDY113"
