"tier","n_ref","repeat_id","ari","auc_both","auc_prop","auc_mean","recon_mse","ref_samples"
"Top 10%",2,85,0.838949627664227,0.757142857142857,0.689285714285714,0.721428571428572,0.00257126787506053,"501, 804"
"Top 10%",2,86,0.883526549344048,0.572619047619047,0.588095238095238,0.573809523809524,0.00286312751093596,"307, 276"
"Top 10%",2,87,0.883526549344048,0.572619047619047,0.588095238095238,0.573809523809524,0.00286312751093596,"276, 307"
"Top 10%",2,88,0.839905505136943,0.647619047619047,0.752380952380953,0.567857142857143,0.00298861875995367,"307, 89"
"Top 10%",2,89,0.852654759838151,0.829761904761905,0.773809523809524,0.723809523809524,0.00267500999344658,"804, 586"
"Top 10%",2,90,0.77614138776294,0.455952380952381,0.636904761904762,0.459523809523809,0.00289755812792388,"737, 791"
"Top 10%",2,91,0.844440021919169,0.691666666666667,0.685714285714286,0.639285714285714,0.00280108757265103,"791, 586"
"Top 10%",2,92,0.858777405899613,0.707142857142857,0.695238095238095,0.686904761904762,0.00287360495238387,"501, 276"
"Top 10%",2,93,0.866476057479656,0.65952380952381,0.764285714285714,0.575,0.00310861805752444,"739, 791"
"Top 10%",2,94,0.858777405899613,0.707142857142857,0.695238095238095,0.686904761904762,0.00287360495238387,"276, 501"
"Top 10%",2,95,0.852654759838151,0.829761904761905,0.773809523809524,0.723809523809524,0.00267500999344658,"586, 804"
"Top 10%",2,96,0.878037575013398,0.711904761904762,0.747619047619048,0.525,0.00260969888236097,"347, 89"
"Top 10%",2,97,0.858318309179448,0.751190476190476,0.607142857142857,0.739285714285714,0.00273762070927396,"347, 586"
"Top 10%",2,98,0.843963882531449,0.788095238095238,0.755952380952381,0.663095238095238,0.00307809557198735,"591, 307"
"Top 10%",2,99,0.859961132966204,0.677380952380952,0.669047619047619,0.591666666666666,0.00264031015034618,"347, 264"
"Top 10%",2,100,0.881448063057324,0.584523809523809,0.620238095238095,0.575,0.00279752906307843,"586, 739"
"Bottom 10%",2,1,0.86110839765183,0.654761904761905,0.754761904761905,0.634523809523809,0.00299478348637956,"587, 230"
"Bottom 10%",2,2,0.844505786856766,0.68452380952381,0.763095238095238,0.639285714285714,0.00282668586328044,"230, 224"
"Bottom 10%",2,3,0.859963346274057,0.591666666666666,0.65,0.577380952380952,0.00286972411954783,"255, 250"
"Bottom 10%",2,4,0.84954021835061,0.689285714285715,0.755952380952381,0.578571428571428,0.00269040689498997,"258, 251"
"Bottom 10%",2,5,0.848462318166292,0.783333333333333,0.75952380952381,0.729761904761905,0.00294912784638813,"551, 250"
"Bottom 10%",2,6,0.80006368941723,0.696428571428571,0.652380952380952,0.683333333333334,0.00273380686589666,"551, 771"
"Bottom 10%",2,7,0.848462318166292,0.783333333333333,0.75952380952381,0.729761904761905,0.00294912784638813,"551, 250"
"Bottom 10%",2,8,0.860415025984665,0.711904761904762,0.638095238095238,0.711904761904762,0.00307042362384443,"258, 92"
"Bottom 10%",2,9,0.833433013810261,0.723809523809524,0.707142857142857,0.711904761904762,0.00305653667778403,"255, 224"
"Bottom 10%",2,10,0.854393802614722,0.692857142857143,0.611904761904762,0.689285714285715,0.00341275723406343,"230, 770"
"Bottom 10%",2,11,0.850710765830681,0.621428571428571,0.616666666666666,0.609523809523809,0.00271755812604752,"92, 587"
"Bottom 10%",2,12,0.834350599564594,0.741666666666667,0.605952380952381,0.744047619047619,0.00290759394675239,"258, 230"
"Bottom 10%",2,13,0.864806119360228,0.707142857142857,0.420238095238095,0.70952380952381,0.00345731784357471,"255, 92"
