"tier","n_ref","repeat_id","auc_both","auc_prop","auc_mean","recon_mse","mean_r2","mean_cv","mean_sd_change","ref_samples"
"Bottom 10%",2,32,0.898148148148148,0.869047619047619,0.873015873015873,0.00465080169101175,0.493592626199986,0.869576382515271,0.0133453486972626,"521438, 521482"
"Bottom 10%",2,33,0.924603174603174,0.931216931216931,0.797619047619048,0.00447341798454341,0.487672127409394,0.874546726211524,0.0150310921535429,"455522, 521458"
"Bottom 10%",2,34,0.826719576719576,0.925925925925926,0.714285714285714,0.00559561721940668,0.482193621430323,0.843842192380785,0.0179458650329064,"499735, 499716"
"Bottom 10%",2,35,0.891534391534392,0.933862433862434,0.873015873015873,0.00529773933131093,0.513036748121581,0.889708051593608,0.0122417174290668,"521472, 455521"
"Bottom 10%",2,36,0.914021164021164,0.947089947089947,0.888888888888889,0.00547119166877285,0.446543767087084,0.849634102357649,0.0178910422835553,"511072, 455930"
"Bottom 10%",2,37,0.871693121693122,0.806878306878307,0.828042328042328,0.00458929739360376,0.483567146573346,0.867585994481685,0.0138794360223736,"521482, 499735"
"Bottom 10%",2,38,0.916666666666667,0.810846560846561,0.91005291005291,0.00483499370611605,0.507314287345806,0.874328736819956,0.0157295182816471,"521918, 455910"
"Bottom 10%",2,39,0.841269841269841,0.887566137566138,0.802910052910052,0.00487305726740338,0.437026662981912,0.834016057819148,0.0191877887351755,"455910, 521471"
"Bottom 10%",2,40,0.601851851851852,0.87037037037037,0.521164021164021,0.00474346747497375,0.463753222750058,0.867127221428918,0.013989258435203,"521472, 499735"
"Bottom 10%",2,41,0.603174603174603,0.833333333333333,0.597883597883598,0.00476899359584966,0.518202983318188,0.88537342605664,0.0113862231029819,"521471, 499690"
"Bottom 10%",2,42,0.706349206349206,0.936507936507937,0.687830687830688,0.00491165231661585,0.476557216511218,0.890607193567495,0.0136755428858727,"521895, 521918"
"Bottom 10%",2,43,0.85978835978836,0.797619047619047,0.869047619047619,0.00411245851630972,0.491813874372459,0.87867729583987,0.0146284132304501,"521458, 521480"
"Bottom 10%",2,44,0.855820105820106,0.683862433862434,0.851851851851852,0.00432721370448071,0.48113567395818,0.863515519760178,0.0145639230894559,"499738, 521475"
"Bottom 10%",2,45,0.862433862433862,0.818783068783069,0.796296296296296,0.00479759937243726,0.530752247771322,0.872766229853522,0.0149147419593215,"499735, 504129"
"Bottom 10%",2,46,0.895502645502646,0.76058201058201,0.853174603174603,0.0040428887519334,0.458192841540898,0.871409559534423,0.0135779220053194,"521441, 499721"
"Bottom 10%",2,47,0.703703703703704,0.89021164021164,0.60978835978836,0.00501187518233968,0.501348893633593,0.864315681245486,0.0142289528160577,"521476, 521441"
"Bottom 10%",2,48,0.691798941798942,0.781746031746032,0.694444444444444,0.00434032218694816,0.448628923069652,0.87558054375614,0.0139601643070588,"521482, 511072"
"Bottom 10%",2,49,0.83994708994709,0.720899470899471,0.821428571428571,0.00402776758235492,0.462657707830921,0.862589732312528,0.0147700636529875,"511102, 499683"
"Bottom 10%",2,50,0.846560846560847,0.838624338624339,0.797619047619047,0.0046697972235705,0.459963814816758,0.867987685909876,0.0148992250885036,"499690, 455522"
"Bottom 10%",2,51,0.794973544973545,0.951058201058201,0.736772486772487,0.00480708405768343,0.450374062403968,0.896042909915029,0.010882610184536,"521455, 521471"
"Bottom 10%",2,52,0.925925925925926,0.832010582010582,0.883597883597883,0.00504396869547766,0.500082474949199,0.867154256168929,0.0147158076835358,"511072, 499738"
"Bottom 10%",2,53,0.650793650793651,0.776455026455026,0.444444444444444,0.00484869319144036,0.475263844038695,0.887343820511918,0.0124599529368455,"521439, 521975"
"Bottom 10%",2,54,0.8994708994709,0.712962962962963,0.902116402116402,0.00415825490779128,0.465577433300982,0.874665870104841,0.0143201964555648,"521441, 521918"
"Bottom 10%",2,55,0.600529100529101,0.751322751322751,0.591269841269841,0.00463814440486781,0.463237209669321,0.857549531779018,0.0160174593946613,"521918, 521457"
"Bottom 10%",2,56,0.89021164021164,0.829365079365079,0.876984126984127,0.00505309386747927,0.501860547207785,0.840239948506045,0.0181341017706463,"499701, 499719"
"Bottom 10%",2,57,0.884920634920635,0.781746031746032,0.861111111111111,0.00502814043962204,0.509269524769788,0.882511657645655,0.013444172898362,"521975, 499681"
"Bottom 10%",2,58,0.846560846560846,0.792328042328042,0.798941798941799,0.00494208310982766,0.50873017030827,0.882092443629774,0.012739385117973,"521477, 504129"
"Bottom 10%",2,59,0.895502645502646,0.912698412698413,0.892857142857143,0.00482872017427004,0.455595643605092,0.851700485663932,0.0170774713897361,"521439, 521480"
"Bottom 10%",2,60,0.826719576719577,0.761904761904762,0.808201058201058,0.00466022364272752,0.452473053558113,0.859103815162613,0.0164047790696037,"521472, 499737"
"Bottom 10%",2,61,0.917989417989418,0.933862433862434,0.887566137566138,0.00439283156663532,0.484930331368042,0.871687245558592,0.0140122556666369,"521471, 504129"
"Bottom 10%",2,62,0.841269841269842,0.896825396825397,0.871693121693122,0.00440118167652189,0.449857415504775,0.868156410805416,0.0137030453553113,"511102, 499701"
"Bottom 10%",2,63,0.794973544973545,0.76984126984127,0.791005291005291,0.00444788906881302,0.442941904635335,0.862604004690503,0.0153336035687321,"499738, 499683"
"Bottom 10%",2,64,0.846560846560846,0.816137566137566,0.777777777777778,0.00620179559258009,0.495856910383824,0.820548153712388,0.0235831570445768,"504129, 455930"
"Bottom 10%",2,65,0.873015873015873,0.818783068783069,0.855820105820105,0.00461583919674304,0.490917901506032,0.862653350290614,0.0156772756083856,"521895, 499701"
"Bottom 10%",2,66,0.636243386243386,0.813492063492063,0.546296296296296,0.00455825673025298,0.488190320726006,0.889386628970609,0.0119816230228399,"504129, 521476"
"Bottom 10%",2,67,0.927248677248677,0.899470899470899,0.895502645502645,0.00467403570087116,0.481028223511011,0.847906164517236,0.0176900765647625,"499721, 499737"
"Bottom 10%",2,68,0.798941798941799,0.768518518518519,0.797619047619047,0.00446073685324666,0.512401409559906,0.884576277296633,0.0143551221805214,"511072, 521975"
"Bottom 10%",2,69,0.683862433862434,0.843915343915344,0.648148148148148,0.00546762349987048,0.519515949959394,0.873538331361742,0.0127824767629805,"521447, 499716"
"Bottom 10%",2,70,0.817460317460317,0.916666666666667,0.71957671957672,0.00500644839470687,0.448758414623437,0.843616939531756,0.0185758806616819,"499719, 499683"
"Bottom 10%",2,71,0.845238095238095,0.768518518518518,0.797619047619047,0.00448769358661268,0.504389075061214,0.887140381385301,0.012928155997124,"511100, 511072"
"Bottom 10%",2,72,0.787037037037037,0.829365079365079,0.681216931216931,0.00465861184051882,0.509088133747734,0.88135322389183,0.0129452748799669,"521476, 521918"
"Bottom 10%",2,73,0.838624338624338,0.727513227513227,0.767195767195767,0.0041420697487622,0.449952265323593,0.8650087307887,0.0140665810784586,"455930, 521475"
"Bottom 10%",2,74,0.825396825396825,0.900793650793651,0.777777777777778,0.00446945620681467,0.478970548474967,0.847454366085132,0.0163957269570476,"499719, 521439"
"Bottom 10%",2,75,0.921957671957672,0.943121693121693,0.914021164021164,0.00438104460232707,0.449737800769594,0.878345948711923,0.0129322157582098,"521475, 521456"
"Bottom 10%",2,76,0.89021164021164,0.874338624338624,0.834656084656084,0.00453567611198489,0.49713975717479,0.884241345863512,0.0131085904155898,"455522, 521471"
"Bottom 10%",2,77,0.853174603174603,0.797619047619047,0.802910052910053,0.00470499062695201,0.428395083175034,0.846913852549321,0.0169517694821959,"521457, 499690"
"Bottom 10%",2,78,0.609788359788359,0.798941798941799,0.559523809523809,0.00492117699828979,0.489828630685857,0.832415395780727,0.0181043029206244,"521442, 521447"
"Bottom 10%",2,79,0.932539682539683,0.85978835978836,0.933862433862434,0.00492360924622077,0.481064017687173,0.889540995897924,0.0110562260025512,"521439, 521438"
