"cells_per_sample","sample_id","ari","n_cells_actual"
4000,"791",0.809787441881002,4000
4000,"801",0.840390828550555,4000
4000,"804",0.84616848197254,4000
4000,"805",0.67924972688186,4000
4000,"867",0.73901565746622,4000
4000,"868",0.815564621300996,4000
4000,"872",0.699907471938872,4000
4000,"880",0.663299938651995,4000
4000,"894",0.790420333855664,4000
4000,"940",0.860789093651542,4000
4000,"941",0.72384056331109,4000
5000,"87",0.846664125303227,5000
5000,"88",0.817638516181764,5000
5000,"89",0.919498382547624,5000
5000,"92",0.903707498160898,5000
5000,"96",0.86706104706877,5000
5000,"97",0.844663614790677,5000
5000,"103",0.886985035346647,5000
5000,"152",0.85918532101394,5000
5000,"154",0.913865731808908,5000
5000,"167",0.76216165087662,5000
5000,"169",0.907091657536635,5000
5000,"171",0.747784838561245,5000
5000,"173",0.905898080827144,5000
5000,"204",0.847221796470248,5000
5000,"208",0.883084459994166,5000
5000,"211",0.855060627611014,5000
5000,"213",0.887367045569693,5000
5000,"214",0.91104429427787,5000
5000,"215",0.858134941415956,5000
5000,"223",0.898193227205312,5000
5000,"224",0.911988858504393,5000
5000,"229",0.909374230202316,5000
5000,"230",0.866544434816333,5000
5000,"231",0.912049914344739,5000
5000,"232",0.910849684725557,5000
5000,"236",0.891627958137225,5000
5000,"241",0.870202459066982,5000
5000,"245",0.84327057892447,5000
5000,"246",0.88658509765524,5000
5000,"250",0.900693466117315,5000
5000,"251",0.91396548631087,5000
5000,"255",0.900247264828107,5000
5000,"257",0.925191344065724,5000
5000,"258",0.866237986110215,5000
5000,"259",0.91790796774083,5000
5000,"260",0.889846996951449,5000
5000,"264",0.886111103712802,5000
5000,"270",0.92297082482772,5000
5000,"276",0.909887607087158,5000
5000,"288",0.873985234461714,5000
5000,"293",0.884357828498212,5000
5000,"295",0.782747264343735,5000
5000,"297",0.910195529300612,5000
5000,"307",0.814234666760406,5000
5000,"322",0.859146188166277,5000
5000,"334",0.829909528877982,5000
5000,"342",0.838818047276877,5000
5000,"347",0.838714884769462,5000
5000,"358",0.906719173198833,5000
5000,"360",0.778801383054839,5000
5000,"364",0.922241193495788,5000
5000,"373",0.886564407894096,5000
5000,"380",0.794111053180827,5000
5000,"390",0.87446633206617,5000
5000,"406",0.839237100393281,5000
5000,"409",0.866313804755091,5000
5000,"413",0.865406337977374,5000
5000,"428",0.942087747456925,5000
5000,"437",0.923847134419229,5000
5000,"440",0.814935719339958,5000
5000,"442",0.859820168236791,5000
5000,"446",0.922381442118885,5000
5000,"465",0.911854476374078,5000
5000,"501",0.8855115455234,5000
5000,"520",0.858928218709635,5000
5000,"525",0.90876425727196,5000
5000,"528",0.877205584047639,5000
5000,"551",0.896581299764711,5000
5000,"586",0.888995174379175,5000
5000,"587",0.820198487143317,5000
5000,"591",0.897060652949852,5000
5000,"603",0.841235321759353,5000
5000,"608",0.944857900457089,5000
5000,"621",0.923150224031402,5000
5000,"625",0.887965924410744,5000
5000,"628",0.861596129203232,5000
